something h c andersen.txt	-0,05564
soup on a sausage peg h c andersen.txt	-0,06136
st. julian s prayer la fontain.txt	-0,01470
stories about snakes brothers grimm.txt	-0,04768
strong hans brothers grimm.txt	-0,02060
sweet porridge brothers grimm.txt	0,02003
sweetheart roland brothers grimm.txt	0,01103
tenth evening h c andersen.txt	-0,07019
the adventures of kintaro the golden boy japanese writer.txt	0,06811
the amorous courtesan la fontain.txt	0,03203
the avaricious wife and tricking gallant la fontain.txt	-0,04318
the bamboo cutter and the moon child japanese writer.txt	-0,07518
the barber shop again arthur scott bailey.txt	0,07380
the beetle h c andersen.txt	-0,04405
the bell deep h c andersen.txt	0,01730
the blue light brothers grimm.txt	-0,01267
the bond of friendship h c andersen.txt	-0,06911
the boots of buffalo leather brothers grimm.txt	-0,01488
the bottle neck h c andersen.txt	0,01103
the boy who had a moon on his forehead and a star on his chin indian writer.txt	0,05295
the bremen town musicians brothers grimm.txt	-0,1000
the bright sun brings it to light brothers grimm.txt	0,01845
the broken pot indian writer.txt	0,02275
the bucking tub la fontain.txt	0,02143
the butterfly h c andersen.txt	0,02164
the case of conscience la fontain.txt	-0,03473
the charmed ring indian writer.txt	-0,009858
the child in the grave h c andersen.txt	-0,009677
the clyster la fontain.txt	-0,07124
the cobbler la fontain.txt	0,04233
the contract la fontain.txt	0,003625
the convent gardener of lamporechio la fontain.txt	0,03175
the country justice la fontain.txt	-0,03926
the countryman who sought his calf la fontain.txt	0,02184
the cradle la fontain.txt	-0,06592
the cruel crane outwitted indian writer.txt	-0,04501
the crumbs on the table brothers grimm.txt	-0,02851
the crystal ball brothers grimm.txt	-0,04398
the cudgelled and contented cuckold la fontain.txt	0,005816
the cunning little tailor brothers grimm.txt	0,002856
the death of the little hen brothers grimm.txt	-0,03201
the demon with the matted hair indian writer.txt	-0,005161
the devil and his grandmother brothers grimm.txt	-0,03272
the devil in hell la fontain.txt	0,03556
the devil of pope fig island la fontain.txt	-0,07828
the devil s sooty brother brothers grimm.txt	0,05256
the devil with the three golden hairs brothers grimm.txt	0,0006739
the ditmarsch tale of wonders brothers grimm.txt	-0,01409
the dog and the sparrow brothers grimm.txt	-0,04828
the donkey brothers grimm.txt	-0,06114
the dress maker la fontain.txt	-0,005482
the drummer brothers grimm.txt	0,02487
the dumb book h c andersen.txt	0,005638
the duration of life brothers grimm.txt	0,007965
the ear maker and the mould mender la fontain.txt	0,06915
the ear of corn brothers grimm.txt	0,008589
the eel pie la fontain.txt	-0,02669
the elves brothers grimm.txt	0,02276
the ephesian matron la fontain.txt	0,02589
the falcon la fontain.txt	0,01015
the farmer and the badger japanese writer.txt	-0,05230
the farmyard cock and the weathercock h c andersen.txt	-0,04309
the fifth voyage of sinbad the sailor arabian writer.txt	-0,004856
the first voyage of sinbad the sailor arabian writer.txt	0,04035
the fisherman and his wife brothers grimm.txt	-0,0007757
the flail from heaven brothers grimm.txt	-0,06883
the four skilful brothers brothers grimm.txt	-0,03406
the fourth voyage of sinbad the sailor arabian writer.txt	-0,02587
the fox and his cousin brothers grimm.txt	0,03859
the fox and the cat brothers grimm.txt	0,04203
the fox and the geese brothers grimm.txt	0,06976
the fox and the horse brothers grimm.txt	-0,03744
the frog king or iron henry brothers grimm.txt	-0,02668
the gascon la fontain.txt	-0,03180
the gascon punished la fontain.txt	-0,06362
the giant and the tailor brothers grimm.txt	0,02122
the girl who trod on the loaf h c andersen.txt	0,03883
the girl without hands brothers grimm.txt	0,06598
the glass coffin brothers grimm.txt	0,06809
the glutton la fontain.txt	0,02687
the gnome brothers grimm.txt	-0,06077
the goblin and the huckster h c andersen.txt	-0,0005959
the goblin of adachigahara japanese writer.txt	-0,06475
the godfather brothers grimm.txt	-0,03523
the gold children brothers grimm.txt	0,01728
the gold giving serpent indian writer.txt	-0,02619
the golden bird brothers grimm.txt	-0,05800
the golden goose brothers grimm.txt	0,002890
the golden key brothers grimm.txt	-0,0002729
the good bargain brothers grimm.txt	0,05573
the goose girl at the well brothers grimm.txt	0,01769
the goose girl brothers grimm.txt	0,004858
the grave mound brothers grimm.txt	0,01440
the griffin brothers grimm.txt	-0,05120
the happy hunter and the skillful fisher japanese writer.txt	0,02938
the hare and the hedgehog brothers grimm.txt	-0,009738
the hare s bride brothers grimm.txt	-0,03815
the hermit la fontain.txt	0,04888
the husband confessor la fontain.txt	-0,07088
the hut in the forest brothers grimm.txt	0,04280
the impossible thing la fontain.txt	-0,01597
the indiscreet confessions la fontain.txt	-0,03677
the iron stove brothers grimm.txt	0,02707
the ivory city and its fairy princess indian writer.txt	0,02440
the jealous husband la fontain.txt	-0,008476
the jelly fish and the monkey japanese writer.txt	-0,01481
the jew among thorns brothers grimm.txt	-0,02697
the juniper tree brothers grimm.txt	-0,02502
the king of persia and the princess of the sea arabian writer.txt	-0,04977
the king of the golden mountain brothers grimm.txt	-0,05433
the king s son who feared nothing brothers grimm.txt	0,04737
the knapsack the hat and the horn brothers grimm.txt	-0,06902
the lambikin indian writer.txt	-0,08170
the lambkin and the little fish brothers grimm.txt	0,05854
the lazy spinner brothers grimm.txt	-0,01584
the little bell la fontain.txt	-0,01478
the little dog la fontain.txt	-0,02252
the little folks presents brothers grimm.txt	-0,08299
the little peasant brothers grimm.txt	-0,05482
the loggers come arthur scott bailey.txt	0,01038
the loss of the talisman arabian writer.txt	-0,03825
the louse and the flea brothers grimm.txt	0,04503
the magic fiddle indian writer.txt	-0,03324
the magick cup la fontain.txt	0,03713
the magnificent la fontain.txt	0,04304
the maid of brakel brothers grimm.txt	0,06820
the mandrake la fontain.txt	-0,01136
the marsh king s daughter h c andersen.txt	0,06102
the master thief brothers grimm.txt	-0,06903
the monks of catalonia la fontain.txt	-0,09039
the moon brothers grimm.txt	-0,05534
the mouse the bird and the sausage brothers grimm.txt	-0,08051
the muleteer la fontain.txt	0,02724
the nail brothers grimm.txt	-0,1000
the nightingale la fontain.txt	0,01204
the nix of the mill pond brothers grimm.txt	-0,02079
the ogre of rashomon japanese writer.txt	-0,02682
the old bachelor s nightcap h c andersen.txt	0,08445
the old gravestone h c andersen.txt	0,02078
the old man and his grandson brothers grimm.txt	-0,01168
the old man s calendar la fontain.txt	-0,03252
the old woman in the wood brothers grimm.txt	0,07715
the owl brothers grimm.txt	-0,03844
the pack of ragamuffins brothers grimm.txt	-0,05185
the peasant and his angry lord la fontain.txt	0,04020
the peasant and the devil brothers grimm.txt	-0,002502
the peasant in heaven brothers grimm.txt	0,08182
the peasant s wise daughter brothers grimm.txt	0,02152
the pen and inkstand h c andersen.txt	0,02233
the phoenix bird h c andersen.txt	-0,05903
the picture la fontain.txt	-0,02436
the pie and the patty pan beatrix potter.txt	0,01781
the pigeon and the crow indian writer.txt	-0,005575
the pigs h c andersen.txt	0,006598
the pink brothers grimm.txt	0,02882
the poor boy in the grave brothers grimm.txt	0,008861
the poor man and the rich man brothers grimm.txt	-0,03746
the poor miller s boy and the cat brothers grimm.txt	0,06357
the prince and the fakir indian writer.txt	-0,04500
the princess betrothed to the king of garba la fontain.txt	-0,01319
the progress of wit la fontain.txt	-0,002023
the psalter la fontain.txt	-0,007666
the puppet showman h c andersen.txt	-0,02823
the quarrel of tee monkey and the crab japanese writer.txt	-0,05974
the queen bee brothers grimm.txt	0,08086
the quid pro quo or the mistakes la fontain.txt	-0,05725
the raven brothers grimm.txt	-0,04540
the rhemese la fontain.txt	-0,01504
the riddle brothers grimm.txt	-0,04037
the river scamander la fontain.txt	-0,01853
the robber bridegroom brothers grimm.txt	-0,0007948
the roly poly pudding beatrix potter.txt	-0,04992
the sagacious monkey and the boar japanese writer.txt	0,02742
the sea hare brothers grimm.txt	0,07565
the second voyage of sinbad the sailor arabian writer.txt	-0,07603
the servant girl justified la fontain.txt	-0,06635
the seven ravens brothers grimm.txt	-0,02306
the seven swabians brothers grimm.txt	-0,04246
the seventh and last voyage of sinbad the sailor arabian writer.txt	0,03860
the shepherd boy brothers grimm.txt	0,06922
the shoes that were danced to pieces brothers grimm.txt	-0,02446
the shroud brothers grimm.txt	-0,05673
the sick abbess la fontain.txt	0,03680
the singing bone brothers grimm.txt	-0,02702
the singing springing lark brothers grimm.txt	-0,03876
the six servants brothers grimm.txt	-0,08859
the six swans brothers grimm.txt	0,05381
the sixth voyage of sinbad the sailor arabian writer.txt	0,08541
the skilful huntsman brothers grimm.txt	0,06535
the snow man h c andersen.txt	-0,05713
the son of seven queens indian writer.txt	-0,03765
the soothsayer s son indian writer.txt	0,05102
the sparrow and his four children brothers grimm.txt	-0,05912
the spectacles la fontain.txt	0,03733
the spindle the shuttle and the needle brothers grimm.txt	-0,07238
the spirit in the bottle brothers grimm.txt	-0,02600
the star money brothers grimm.txt	0,05940
the stolen farthings brothers grimm.txt	-0,05411
the stone of the wise men h c andersen.txt	-0,01105
the story of prince yamato take japanese writer.txt	-0,02725
the story of schlauraffen land brothers grimm.txt	0,005900
the story of the king s son arabian writer.txt	-0,02108
the story of the man who did not wish to die japanese writer.txt	0,005002
the story of the old man who made withered trees to flower japanese writer.txt	-0,07842
the story of the year h c andersen.txt	0,01865
the story of the youth who went forth to learn what fear was brothers grimm.txt	0,002963
the story of urashima taro the fisher lad japanese writer.txt	0,0002416
the story of zobeide told by herself arabian writer.txt	0,1000
the tailor in heaven brothers grimm.txt	-0,01894
the tale of benjamin bunny beatrix potter.txt	0,01218
the tale of mr. jeremy fisher beatrix potter.txt	0,01351
the tale of mr. tod beatrix potter.txt	-0,01171
